date,start_time,end_time,event_name,organizers,categories,location,link
"Apr 20, 2025",2:30 PM,4:30 PM,Make Your Climate Tech Pitch Unforgettable | Storytelling,C O M M U N I C a T I O N S,"Kyle Valiton, Akhila Kosaraju, What If Design, SF Climate Week, Aar",Port Labs,https://lu.ma/sfcwstorytellingworkshop?utm_source=sfcw_site_main_schedule
"Apr 20, 2025",3:30 PM,5:30 PM,"Climate California on Pbs : What New Climate Stories Do We Need Now? (screening + Panel) Climate California, SF Climate Week San Francisco, California",,Stories Do We Need Now? (screening + Panel),"San Francisco, California",https://lu.ma/1qbjsbwq?utm_source=sfcw_site_main_schedule
"Apr 20, 2025",4:00 PM,5:30 PM,"Climate Strides SF : A Run / Walk""panel""for Climate",C L I M a T E A R T S a N D C U L T U R E C O M M U N I C a T I O N S E N V I R O N M E N T a L J U S T I C E & E Q U I T Y,"Adeline Thompson, SF Climate Week, Paddy O'leary",Monday,https://lu.ma/sfcwstorytellingworkshop?utm_source=sfcw_site_main_schedule
"Apr 21, 2025",6:50 AM,8:00 AM,Out Run CO2 Club,"B U I L D I N G S & I N F R a S T R U C T U R E C a R B O N C a P T U R E, U T I L I Z a T I O N, S T O R a G E, C L I M a T E A R T S a N D C U L T U R E","Parker Hughes, Sophie Purdom, Maggie Mullooly, SF Climate Week",The Runner Sculpture,https://lu.ma/sfcwstorytellingworkshop?utm_source=sfcw_site_main_schedule
"Apr 21, 2025",7:00 AM,8:30 AM,Hard Tech and Hard Pavement : SF Climate Week25 Welcome Run,"With Ammobia and Banc of Cal, E N E R G Y I N - P E R S O N E V E N T I N D U S T R I a L","Patrick Gibson, Karen Baert, SF Climate Week, Sophia Spurlock",Alvord Lake,https://lu.ma/p298ii78?utm_source=sfcw_site_main_schedule
"Apr 21, 2025",9:00 AM,11:00 AM,"Corporate Sustainability Hot Topics : Reductions,","Removals, and Materials (sf Climate Week Roundtable), E N E R G Y I N - P E R S O N E V E N T Ma T E R I a L S & C I R C U L a R E C O N O M Y","Edo Perry, John Greenfield, Santhi Analytis, Andrew Sparks, Sf","San Francisco, California",https://lu.ma/1qbjsbwq?utm_source=sfcw_site_main_schedule
"Apr 21, 2025",9:00 AM,11:00 AM,Padel,"Devika Kumar, Katya Plotnitskaya, Susan Stella, Maggie Mullooly, ",,"San Francisco, California",https://lu.ma/1qbjsbwq?utm_source=sfcw_site_main_schedule
"Apr 21, 2025",9:00 AM,11:00 AM,Black,E N V I R O N M E N T a L J U S T I C E & E Q U I T Y I N - P E R S O N E V E N T,"Black in Climate, SF Climate Week","San Francisco, California",https://lu.ma/1qbjsbwq?utm_source=sfcw_site_main_schedule
"Apr 21, 2025",9:30 AM,12:00 PM,Climate Grants,,"Climate Finance Solutions, Joel Armin - Hoiland, Ross Kornberg, Sf","San Francisco, California",https://lu.ma/1qbjsbwq?utm_source=sfcw_site_main_schedule
"Apr 21, 2025",10:00 AM,11:30 AM,"Microbes + Pastries : an Andes Facility Tour Andrew Denu, Gonzalo Fuenzalida, SF Climate Week Andes Ag, Inc. C a R B O N C P T U R E, U T I L I Z T I O N, S T O R G E F O O D & A G R I C U L T U R E I N - P E R S O N E V E N T","C a R B O N C a P T U R E, U T I L I Z a T I O N, S T O R a G E F O O D & A G R I C U L T U R E I N - P E R S O N E V E N T","Andrew Denu, Gonzalo Fuenzalida, SF Climate Week","Andes Ag, Inc",https://lu.ma/cnwaqqva?utm_source=sfcw_site_main_schedule
